epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,105.276,1.38811,0.77559,0.99016,0.68561,0.000332016,0.000332016,0.000332016
2,184.244,0.85586,0.82677,0.99803,0.50744,0.000643393,0.000643393,0.000643393
1,110.216,1.38811,0.77559,0.99016,0.68561,0.000332016,0.000332016,0.000332016
2,186.569,0.85586,0.82677,0.99803,0.50744,0.000643393,0.000643393,0.000643393
3,258.303,0.71383,0.84843,0.99606,0.45029,0.000932769,0.000932769,0.000932769
4,329.322,0.62934,0.83661,0.99803,0.46317,0.000901,0.000901,0.000901
5,401.64,0.56116,0.89173,0.99606,0.36023,0.000868,0.000868,0.000868
6,482.67,0.48454,0.87598,0.99803,0.38316,0.000835,0.000835,0.000835
7,558.676,0.4592,0.89567,1,0.36958,0.000802,0.000802,0.000802
8,630.996,0.40766,0.87205,0.99803,0.37271,0.000769,0.000769,0.000769
9,703.18,0.3628,0.89764,1,0.34542,0.000736,0.000736,0.000736
10,778.583,0.33223,0.87992,0.99803,0.40829,0.000703,0.000703,0.000703
11,854.834,0.29954,0.88976,0.99606,0.36986,0.00067,0.00067,0.00067
12,928.357,0.28994,0.90354,0.99409,0.31462,0.000637,0.000637,0.000637
13,1001.59,0.27317,0.90551,0.99803,0.29831,0.000604,0.000604,0.000604
14,1076.02,0.25059,0.90945,1,0.31879,0.000571,0.000571,0.000571
1,109.07,1.39487,0.75787,0.99016,0.69008,0.000331683,0.000331683,0.000331683
2,185.73,0.82247,0.81299,0.99606,0.51176,0.000643071,0.000643071,0.000643071
3,261.745,0.67145,0.85433,0.99606,0.45038,0.000932459,0.000932459,0.000932459
4,338.133,0.56895,0.85236,0.99803,0.44404,0.000901,0.000901,0.000901
5,415.067,0.50824,0.87795,0.99409,0.35902,0.000868,0.000868,0.000868
6,492.038,0.43993,0.88583,0.99803,0.37656,0.000835,0.000835,0.000835
7,567.837,0.40621,0.89567,0.99606,0.38192,0.000802,0.000802,0.000802
8,644.174,0.40964,0.87008,0.99803,0.34643,0.000769,0.000769,0.000769
9,720.94,0.33146,0.91339,0.99606,0.328,0.000736,0.000736,0.000736
1,103.325,1.38811,0.77559,0.99016,0.68561,0.000332016,0.000332016,0.000332016
2,177.017,0.85586,0.82677,0.99803,0.50744,0.000643393,0.000643393,0.000643393
3,249.551,0.71383,0.84843,0.99606,0.45029,0.000932769,0.000932769,0.000932769
4,323.556,0.62934,0.83661,0.99803,0.46317,0.000901,0.000901,0.000901
5,398.473,0.56116,0.89173,0.99606,0.36023,0.000868,0.000868,0.000868
6,472.608,0.48454,0.87598,0.99803,0.38316,0.000835,0.000835,0.000835
1,102.78,1.41344,0.75591,0.99409,0.71749,0.000332344,0.000332344,0.000332344
2,180.434,0.91086,0.8248,0.99606,0.52459,0.00064371,0.00064371,0.00064371
1,109.027,1.43785,0.72244,0.99016,0.7622,0.000332508,0.000332508,0.000332508
2,183.951,0.97749,0.82677,0.99606,0.53224,0.000652658,0.000652658,0.000652658
3,257.804,0.83231,0.83858,0.99606,0.47078,0.000959608,0.000959608,0.000959608
4,332.237,0.71159,0.8248,0.99803,0.50069,0.0009406,0.0009406,0.0009406
5,410.175,0.66909,0.87795,0.99606,0.3726,0.0009208,0.0009208,0.0009208
6,485.309,0.56246,0.84252,0.99606,0.50075,0.000901,0.000901,0.000901
7,559.445,0.5625,0.87795,0.99803,0.39284,0.0008812,0.0008812,0.0008812
8,631.728,0.54212,0.87402,0.99803,0.37761,0.0008614,0.0008614,0.0008614
9,706.096,0.46266,0.88386,0.99803,0.36728,0.0008416,0.0008416,0.0008416
10,778.715,0.42051,0.88976,0.99606,0.39972,0.0008218,0.0008218,0.0008218
11,851.231,0.41085,0.88189,0.99606,0.41624,0.000802,0.000802,0.000802
12,922.351,0.39292,0.89173,0.99409,0.38359,0.0007822,0.0007822,0.0007822
13,994.205,0.37379,0.89173,0.99803,0.37394,0.0007624,0.0007624,0.0007624
14,1066.83,0.33078,0.89961,1,0.38523,0.0007426,0.0007426,0.0007426
